State,Year,HS_or_higher_25-44,Bach_or_higher_25-44,MathG8Performance,MG8_at_or_above_prof,ReadingG80500,EGOV,LGOV,TGOV,REGION,,,
Nebraska,2011,90.3,32.6,283,33,268,,,,MW,,,
Nevada,2011,82.9,21.1,278,29,258,,,,W,,,
New Hampshire,2011,93.4,37.1,292,44,272,,,,NE,,,
New Jersey,2011,91.0,40.6,294,47,275,,,,NE,,,
New Mexico,2011,83.7,23.0,274,24,256,,,,SW,,,
New York,2011,87.7,39.1,280,30,266,,,,NE,,,
North Carolina,2011,86.1,30.1,286,37,263,,,,SE,,,
North Dakota,2011,93.9,32.8,292,43,269,,,,MW,,,
Ohio,2011,91.0,29.3,289,39,268,,,,MW,,,
Oklahoma,2011,87.6,25.6,279,27,260,,,,SW,,,
Oregon,2011,88.3,30.7,283,33,264,,,,W,,,
Pennsylvania,2011,91.5,33.5,286,39,268,,,,NE,,,
Rhode Island,2011,89.3,34.8,283,34,265,,,,NE,,,
South Carolina,2011,87.3,26.4,281,32,2260,,,,SE,,,
South Dakota,2011,92.1,29.8,291,42,269,,,,MW,,,
Tennessee,2011,88.5,27.1,274,24,259,,,,SE,,,
Texas,2011,82.5,27.4,290,40,261,,,,SW,,,
Utah,2011,89.5,30.2,283,35,267,,,,W,,,
Vermont,2011,94.4,38.9,294,46,274,,,,NE,,,
Virginia,2011,90.9,39.7,289,40,267,,,,SE,,,
Washington,2011,90.1,32.7,288,40,268,,,,W,,,
West Virginia,2011,88.8,23.0,273,21,256,,,,SE,,,
Wisconsin,2011,92.1,30.8,289,41,267,,,,MW,,,
Wyoming,2011,92.2,26.5,288,37,270,,,,W,,,
Puerto Rico,2011,84.0,29.3,218,0,NA,,,,T,,,
United States,2012,88.0,32.4,NA,NA,NA,D,,,N,,,
Alabama,2012,87.0,26.2,NA,NA,NA,,,,SE,,,
Alaska,2012,93.6,27.3,NA,NA,NA,,,,W,,,
Arizona,2012,85.6,27.5,NA,NA,NA,,,,SW,,,
Arkansas,2012,87.6,23.7,NA,NA,NA,,,,SE,,,
California,2012,82.8,32.4,NA,NA,NA,,,,W,,,
Colorado,2012,89.4,38.6,NA,NA,NA,,,,W,,,
Connecticut,2012,92.3,41.3,NA,NA,NA,,,,NE,,,
Delaware,2012,88.8,32.4,NA,NA,NA,,,,SE,,,
District of Columbia,2012,90.4,62.7,NA,NA,NA,,,,SE,,,
Florida,2012,87.9,28.0,NA,NA,NA,,,,SE,,,
Georgia,2012,86.9,30.5,NA,NA,NA,,,,SE,,,
